urd-wl-83-174268-11364090-post1__3	میری نظر میں تو یہ ان کا شرعی حق ہے آپ کیا کہتے ہیں؟	In my opinion, this is religious right, what do you say?	In my point of view, it is their religious right, what do you say?	I believe this is his legitimate right. What do you say?	In my opinion they have the right? what would be ur opinion?	-29.9794	-35.745	-31.4313	-71.4188	-28.4531	-32.8619	-30.5093	-70.3788
urd-wl-86-174276-11370259-post1__4	کیا بھارتی حکومت کا موجودہ سیاسی حالات کو جواز بناکر کرکٹ ٹیم کا دورہ منسوخ کرنا درست اقدام ہے، کھیل کو سیاست سے الگ نہیں رکھنا چاہئے؟	Is the Indian Governments initiative not to allow the cricket team to visit Pakistan on grounds of political reasons justified? Can't sports be kept aside from politics?	Is the Indian government's decision to cancel the trip in view of the present political situation a proper step? Should sports not be separated from politics?	Is it right to use available political issue of the Indian government as the passport to cancel the cricket tour, the games must not be kept away from politics?	Is Indian government not allowing cricket team for tour is justified, game should be kept aside of other issues?	-89.7505	-72.3531	-79.1824	-66.6747	-87.7816	-68.7278	-77.4542	-68.365
urd-wl-86-174276-11370259-post1__5	بھارتی حکومت کا فیصلہ کرکٹ کیلئے نقصان دہ نہیں؟	Is the Indian Government's decision counter productive for cricket?	Is the Indian government's decision not harmful for cricket?	Isn't the decision of the Indian Government towards cricket a loss?	India view for cricket is not harmful?	-68.3625	-62.6002	-38.5103	-29.1145	-68.5541	-64.1994	-38.2236	-29.9876
urd-wl-86-174276-11370259-post1__6	بھارت میں سیکورٹی کی صورتحال خراب ہونے کے باوجودانگلش کرکٹ ٹیم دورہ جاری رکھے ہوئے تو بھارتی ٹیم پاکستان کا دورہ کیوں نہیں کرسکتی؟	Despite security concerns English team visited India then why can't the Indian team continue its tour of Pakistan.	Despite the fact that the security condition in India is bad, the England cricket team is continuing its tour, so why can't the Indian team make the tour of Pakistan?	Even though the security in India was poor, the English Cricket Team tour was going on, so why don't the Indian team do the Pakistan Tour?	Indian security system is not good instead of which English cricket team tours India then does India should not tour Pakistan?	-68.5317	-124.805	-120.677	-112.945	-69.4874	-124.197	-123.549	-113.5
urd-wl-86-174276-11370259-post1__7	اس بارے میں آپ کی کیا رائے ہے۔	What is you opinion is this regards?	What is your opinion on this?	What is your opinion in this regard?	In this matter what is your opinion.	-57.4637	-12.8345	-15.1228	-14.2368	-58.3836	-9.02746	-12.1359	-13.1799
urd-wl-86-174276-11370261-post11__1	-سلمان، کراچی۔	Salman from Karachi	Salman, Karachi	Salman, Karachi.	Salman Karachi	-86.0481	-82.828	-82.828	-82.828	-86.0481	-82.828	-82.828	-82.828
urd-wl-86-174276-11370261-post11__2	جو لوگ بھارت جانے پر فخر کرتے ہیں	Those people who feel proud of visiting India	Those people who are proud about going to India	People who feel proud on going to India.	People who are proud to go to India	-20.762	-22.9532	-22.9219	-19.3773	-20.0916	-22.9298	-23.4513	-19.9758
urd-wl-86-174276-11370261-post11__3	اور ان کی فلموں یا اپنی ویڈیو وہاں پر بنواتے ہیں اب ان کی آنکھیں کھل جانی چاہیئیں  کہ بھارت کے لوگ کتنی آپ کی عزت کرتے ہیں	and direct or produce their videos in India should open their eyes that what response India is giving.	and they make their films and videos over there, their eyes should open now, as to how much the people of India respect you.	And their films and videos which are made there, now their eyes must open to see that how much the Indian people respect you.	And make their films and own Videos should now open their eyes and see that how Indians respect you	-61.3832	-71.5244	-72.6174	-65.6367	-64.3994	-69.1732	-75.3512	-68.7018
urd-wl-86-174276-11370261-post11__4	مجھے عدنان سمیع کا ایک انٹر ویو یاد ہے جس میں انہوں نے کہا تھا کہ میں پاکستانی نہیں میری شہریت برطانوی ہے	I remember an interview of Adnan Sami in which he said that he is not Pakistani national but a British.	I remember an interview of Adnan Sami, in which he said that he is not Pakistani, rather, his citizenship is of England.	I remember one interview of Adnan Samee where he said I am not a Pakistani, my popularity is British.	I remember an interview of adnan sami in which he said that I am not a Pakistani, my nationality is British.	-93.7216	-134.522	-166.057	-127.417	-92.6786	-134.337	-166.342	-126.587
urd-wl-86-174276-11370261-post11__5	عدنان سمیع کو چاہیئے کہ وہ پہلی فرصت میں پاکستان آجائے کیونکہ تجھے عزت وہاں بھی راس نہیں آئی،	Adnan Sami should come back to Pakistan at the first opportunity, because he did not get honor there either.	Adnan Sami should return to Pakistan first chance he gets because respect did not suit you there either.	Adnan Sami needs that he should come to Pakistan at first opportunity because respect did not suited him even there.	Adnan Sami should come back to Pakistan in first chance because he is not to be respested there as well	-124.062	-101.937	-103.837	-129.845	-124.12	-102.772	-106.009	-130.974
urd-wl-86-174276-11370261-post16__1	-فرید احمد۔	Farid Ahmad	Fareed Ahmed	Fareed Ahmad	Fareed Ahmed	-18.2659	-48.9548	-50.5469	-48.9548	-18.2659	-48.9548	-50.5469	-48.9548
urd-wl-86-174276-11370261-post16__2	کراچی۔	Karachi	Karachi	Karachi	Karachi	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141	-42.7141
urd-wl-86-174276-11370261-post16__3	ممبئی حملہ کے بعد بھارتیوں کا رویہ بدل گیا ہے	After the Mumbai attacks, the mode of the Indians have changed.	Indian's attitude has changed after Bombay Attacks.	Indians attitude have changed after Mumbai attack.	Indians got a change in their attitude after Mumbai attacks	-35.2544	-66.6256	-34.8533	-40.6725	-36.538	-66.7484	-35.0102	-40.6647
urd-wl-86-174276-11370261-post16__4	،جگجیت سنگھ نے اسکا رد عمل اس صورت میں ظہاہر کیا ہے کہ وہ پاکستان اور پاکستانی سے نفرت کرتے ہیں	Jagjeet Singh reacted by expressing that he hates Pakistan and Pakistanis.	Jagjit Singh has showed his reaction in this way that he hates Pakistan and Pakistani.	Jagjit showed his reaction in this form that he hates Pakistan and Pakistani.	Jugjeet singh started hating Pakistan and Pakistanis as its reaction.	-148.203	-155.054	-114.192	-150.304	-149.239	-155.815	-115.674	-150.671
urd-wl-86-174276-11370261-post16__5	معلوم ہونا چہایئے کہ عدنان سمیع نے آشا بھونسلے کے ساتھ گانے گائے ہیں اب وہ بے سرا کہاں سے ہوگیا،عدنان سمیع کو بھارت ہی میں رہنا چاہیئے یہاں آنے کی ضرورت نہیں ہے	It should be known that Adnan Sami has sung with Asha Bhonsle and how has he become helpless now? Adnan Sami should stay in India. There is no need for him to come here.	One should know that Adnan Sami has sung with Asha Bhonsley. How is he a bad singer now? Adnan Sami Should stay in India, there is not need to come here.	it should be known that Adnan Sami sung seven songs of Asha Bhosla, now how can he be out of tune, Adnan Sami should stay in India, no need to come here.	The point to ponder is that Adnan Sami has sang songs with Aasha Bhonsle.So he is not a bad voiced singer.Adnan Sami should stay in India,no need to come there.	-254.422	-249.297	-248.328	-283.334	-251.148	-252.066	-247.533	-284.665
urd-wl-86-174276-11370261-post3__1	-محمد شمشاد عالم،	Muhammad Shamshad Aalam,	Muhammad Shamshaad Alam	Muhammad Shamshad Alam	Muhammad Shah AAlam	-122.942	-122.942	-122.942	-88.9851	-122.942	-122.942	-122.942	-88.9851
urd-wl-86-174276-11370261-post3__2	کراچی،جگجیت سنگھ کے بیان پر میں صرف اتنا کہوں گا کہ وہ بھی گرگٹ کی طرح رنگ بدلتا ہے	Karachi. I will only say so much about Jagjeet Singh, that he too changes colors like a chameleon,	Karachi, On the statement of Jagjit Singh, I would only say that he changes color like a chameleon.	Karachi, i will only say this on the statement of Jagjit Singh that he changes color like a chameleon.	Regarding Jagjit Singh I would tell that he changes colors like a chameleon .	-235.088	-199.216	-203.403	-190.391	-235.214	-200.146	-204.244	-191.148
urd-wl-86-174276-11370261-post3__3	جو موقع کی مناسبت سے بیان بازی کرتا ہے پاکستانیوں آنکھیں کھولو کہ بھارت میں تمہاری کتنی قدر کی جاتی ہے کندو کی ذہنیت کا سمجھو۔	and speaks on the occasion. Pakistanis, open your eyes and see how much you are respected in India. Do not be dull minded.	Who gives statements in relation to the circumstances. Pakistanis! open your eyes to how much value you are given in India. Understand their mentality.	Who gives statements suitable to situation Pakistanis open your eyes that how much you are given worth in India, understand the thinking of Hindu.	The one who is taking care of situation gives opinion about it.The people of pakistan open up your eyes and see that you are greatly respected in India.Understand their feelings.	-109.053	-109.579	-85.2174	-154.148	-109.742	-109.554	-86.5948	-152.717
urd-wl-86-174276-11370261-post3__4	ممبئی کے واقعہ کے بعد ان کی نفرت انگیز بیان بازی بڑھ گئی ہے اب وہی مشہور گلوکارعدنان سمیع کے خلاف زہر اگل رہے ہیں۔	After the Mumbai incident, their hate filled speech has increased. Now they are spreading poison about famous singer Adnan Sami.	After the Bombay incident, there hateful statements have increased. The same people are now saying evil against the famous singer Adnan Sami.	After the Mumbai incident, their hateful statements have increased now they are spitting poison against popular singer Adnan Sami.	After the Mumbai attack their feeling of hate has increased.Now they are talking against the famous singer Adnan Sami.	-159.215	-155.064	-154.72	-175.964	-158.483	-154.727	-155.255	-178.22
urd-wl-86-174276-11370262-post1__1	غیر ملکی خبر رساں ایجنسی کے مطابق عراق کے الوداعی دورے پر آئے امریکی صدر بش نے وزیر اعظم نور المالکی کے ہمراہ بغداد میں واقع ان کے دفتر میں پریس کانفرنس کے دوران اس وقت صورتحال مضحکہ خیز ہوگئی جب ایک عراقی صحافی نے صدر بش کو مخاطب کرتے ہوئے کہا”کتے یہ الوداعی بوسہ ہے“۔	according to a foreign news agency, during his final visit to Iraq when American president Bush along with Iraqi president Noori Almaliki were in a press conference in his office, the situation went ludicrous when an Iraqi journalist while addressing President Bush said "You dog this is a farewell kiss"	According to foreign news agencies, in the farewell trip of American President George Bush, during a press conference with the Prime Minister Nur-al-Maliki, in his office, the situation became hilarious when an Iraqi journalist called Bush saying "Dog, this is a farewell kiss".	Without my permission at all, a dream takes place in my mind. I must have a house in a beautiful evergreen valley. There must be flowering trees on top of the hill.	According to foreign news agency the situation has become funny when President Bush along with Prime Minister Noor Almalki in press conference at his office in Baghdad when an Iraqi journalist said to President Bush, "Dog, this is farewell kiss".	-272.089	-247.852	-133.387	-268.628	-269.439	-249.002	-134.825	-267.707
urd-wl-86-174276-11370262-post1__2	اس کے بعد اس صحافی نے اپنا ایک جوتا اتارتے ہوئے بش کی جانب پھینکا ، صدر بش نے مہارت سے جوتا لگنے سے پہلے ہی اپنا سر جھکا دیا اور اپنے آپ کو بچالیا۔	after that the journalist removed his shoe and threw it towards Bush. president Bush expertly ducked before the shoe could hit and saved himself.	After this, the journalist took his shoe off and threw it at Bush. President Bush ducked with expertise and saved himself from getting hit by the shoe.	Each morning at least one among the flowers that fall from the trees should reach the valley, where my small nest-like house situates.	After this journalist removed his shoe and threw it at Bush, President bush expertly moved his head out of the way and saved himself.	-130.876	-166.543	-146.068	-87.3235	-131.789	-166.628	-147.863	-88.908
urd-wl-86-174276-11370262-post1__3	دوسرا جوتا امریکی پرچم کو لگا۔	second shoe hit the American Flag.	The second shoe hit the American flag.	The second thing was that about your future.	Second shoe hit the American flag.	-26.4353	-25.781	-21.2523	-26.4353	-27.0028	-25.4591	-19.8444	-27.0028
urd-wl-86-174276-11370262-post1__4	سیکیورٹی اہلکار اس صحافی کو گھسیٹتے ہوئے کو اس جگہ سے لے گئے۔	Security personnels dragged the journalist away from there.	Security agents pulled this journalist away from there.	At night, while sleeping on the terrace, I must be able to view the whole star bloomed sky.	Security officials dragged him out of there.	-64.8819	-31.101	-93.2838	-27.2924	-65.1567	-31.3474	-95.7714	-27.1045
urd-wl-86-174276-11370262-post1__5	اس موقع پر صدر بش نے کہا کہ مجھے نہیں معلوم اس نے ایسا کیوں کیا، جوتا10نمبر کا تھا، مجھے کوئی پریشانی نہیں ہوئی۔	at this point, president Bush said that he didn't know why he had done so , Shoe was of number 10, I had no problem.	On this occasion, President Bush said that he did not know why he did that, the shoe was of size ten, he was not bothered.	Seeing the melting mist in the valley, seeing the gold- bangled hands working in the tiled kitchen, watching my hard work blooming up in the compound.	On this occasion President Bush said I don't know why he did this, shoe was of size 10, I was not bothered.	-76.0864	-105.526	-243.546	-104.292	-73.3477	-102.369	-245.101	-103.057
urd-wl-86-174276-11370262-post1__6	آپ کے خیال میں کیاصحافی کا یہ عمل عراقی عوام کی طرف سے صدر بش کے خلاف غصے کا اظہار نہیں تھا؟	do you think this reaction of the journalist wasn't an expression of deprecation or President bush from the Iraqi people?	In your opinion, does this action of the journalist show the anger of the Iraqi public against President Bush.	Looking at the twinkling stars, feeling the softness of fondling fingers, inhaling the fragrance of night jasmine.	Do you think that this action by the journalist depicts the anger of Iraqi people against President Bush.	-58.3979	-49.7015	-175.946	-46.0807	-56.3174	-48.8074	-176.535	-42.7993
urd-wl-86-174276-11370262-post1__7	اس واقعہ پر آپ کیا کہیں گے؟	what would you say on this incident?	What do you say about this incident?	What is your opinion about this?	What will you say about this?	-21.1559	-20.0622	-13.2372	-13.2147	-20.1737	-18.63	-10.5799	-11.9157
urd-wl-86-174276-11370263-post1__1	ممبئی میں ہونے والی دہشت گردی کے واقعات کے بعد پاکستان اور بھارت کے تعلقات میں پیدا ہونے والی کشیدگی اس وقت سنگین صورتحال اختیار کرگئی جب بھارتی فضائیہ کے جنگی طیاروں نے لاہور اور کشمیر سیکٹرز میں پاکستان کی فضائی حدود کی خلاف ورزی کی۔	The tension between Pakistan and India's relations after the terrorism in Mumbai got further intense when the fighter planes from the Indian Air force violated the Pakistani airspace in Lahore and Kashmir sectors.	After the Mumbai terror incidents, the tension in Indo-Pak relations escalated to a grave extent, when Indian Air Force war planes violated Pakistani air space in the Lahore and Kashmir sectors.	By wearing a mask repeatedly, you have lost your face. You have developed the art of having the brightness of truth even while uttering point blank lies.	After the terrorists attacks on Mumbai the tension between India and Pakistan relations worsen when fighter planes of Indian Air Force violated the air space limit of Pakistan in Lahore and Kashmir sectors.	-107.302	-152.069	-126.853	-110.112	-108.212	-154.098	-128.063	-107.837
urd-wl-86-174276-11370263-post1__2	پاک فضائیہ کی جوابی کارروائی کے باعث بھارتی طیارے واپس جانے پر مجبور ہوگئے۔	as a result of retaliation from Pak Air force, the Indian planes were forced to go back.	Due to the reaction of the Pakistani Air Force, the Indian planes were forced to go back.	I was always dominated by an uncontrollable thirst for affection.	Due to the counter action of Pakistan Air Force Indian planes were forced to return.	-83.5277	-45.5092	-32.4766	-48.28	-82.1197	-43.8018	-33.5884	-48.3589
urd-wl-86-174276-11370263-post1__3	ذرائع کے مطابق دونوں بھارتی طیارے اسلحہ اور گولہ بارود سے لیس تھے۔	sources say that both Indian planes were loaded with ammunition.	According to sources, both Indian planes were full of weapons and ammunition.	When my problem is something concerned with money.	According to resources both Indian planes were fully armed.	-40.5151	-40.6819	-21.5958	-35.134	-40.7652	-40.5293	-21.7586	-36.1197
urd-wl-86-174276-11370263-post1__4	موجودہ کشیدہ حالات میں یہ اپنی نوعیت کا پہلا واقعہ ہے۔	It is the first incident of its nature in the present strained situation.	This is the first of its kind incident in the current tensed situation.	There are many problems faced the people in the world. It is not under the control of human beings.	In the current tensed situation it is the first incident of its own kind.	-33.2177	-66.6307	-36.5816	-69.4116	-32.9505	-65.5742	-34.3759	-69.2623
urd-wl-86-174276-11370263-post1__5	پاک فضائیہ کا کہنا ہے کہ فضائیہ ملک کا دفاع کرنے کیلئے پوری طرح تیار ہے۔	Pakistan Air Force has affirmed that it is absolutely ready to defend the country .	Pakistan Air Force says that Air Force is all set for country's air defense.	I think it is mainly by people not think properly, what is the real cause.	Pakistan Air Force says that Air Force is fully vigilant to defend the country.	-37.3893	-83.0628	-34.6542	-41.2929	-37.4348	-84.9576	-34.78	-43.2241
urd-wl-86-174276-11370263-post1__6	وزیر اطلاعات شیری رحمن کا کہنا ہے کہ بھارتی حکام نے تسلیم کیا ہے کہ فضائی حدود کی خلاف ورزی ہوئی، تاہم ایسا غلطی سے ہوا۔	Federal Minister of Information Sherry Rehman has stated that the Indian leaders have acknowledged the violation of Pakistani airspace, however this happened by mistake.	Information Minister Sherry Rahman says that Indian officials have accepted that aerial boundaries have been crossed. Although, this happened by mistake.	The consequence of the fact that it is very dangerous to face the problems that arise in the world future.	Minister of Information Sherry Rehman says India has admitted that it was a violation of air space limit, however it was a mistake.	-115.396	-82.8256	-35.3575	-103.319	-116.509	-82.9825	-31.41	-104.632
urd-wl-86-174276-11370263-post1__7	پاکستان کے عسکری ذرائع نے اس واقعہ کو سنگین قرار دیا ہے۔	Pakistan's military sources have declared that this is a grave incident.	Pakistan military sources have declared this incident felonious.	Today itself start for the well beings of the people	Pakistan Army resources declared this incident as crucial.	-35.8511	-67.1788	-34.7483	-32.0751	-34.6872	-67.7027	-35.7736	-32.6825
urd-wl-86-174276-11370263-post1__8	آپ کے خیال میں کیا واقعی بھارت پاکستان پر فضائی حملے کا ارادہ رکھتا ہے؟	Do you think India really intends to launch an air raid on Pakistan?	In your opinion, does India really have an intention of air strike on Pakistan?	What did the people seriously think about that?	Do you think India really intends to launch an air attack on Pakistan?	-75.4282	-77.3892	-21.41	-76.5137	-72.0812	-77.8386	-21.1481	-73.1898
urd-wl-86-174276-11370263-post1__9	کیا بھارت کا یہ موقف درست ہے کہ یہ خلاف ورزی غلطی سے ہوئی یا اس کا مقصد پاک فضائیہ کی صلاحیت کا اندازہ لگاناتھا؟	Is India's claim true, about the violation of Pakistani airspace being a mistake, or is India trying to cover up an attempt made to annalyze the capability of Pakistan Air Force?	Is this statement of India correct that this violation was a mistake or this was to find out the ability of Pakistan Air force.	Poverty, financial crisis, diseases are the main challenges that people going to face in the world in future.	Is India's claim is correct that this violation was a mistake or it was objected to measure the capability of Pakistan Air Force.	-137.139	-65.0638	-44.0111	-69.5824	-139.692	-63.3339	-42.7066	-68.6294
urd-wl-86-174276-11370263-post1__10	یہ واقعہ دونوں ملکوں کے درمیان کشیدگی میں مزید اضافے کا سبب نہیں بنے گا؟	This incident will cause an increase in tension between the two countries?	Is this incident not going to aggravate the current estrangement among the two countries?	Why did the people think about the consequences of the dangerous calamities affected the people?	Not this incident will increase tension between the two countries?	-26.3051	-39.3097	-40.0225	-26.6608	-23.6843	-36.728	-37.6959	-25.9162
urd-wl-86-174276-11370263-post1__11	اپنی رائے سے آگاہ کریں۔	Share your opinion.	Please inform us with your comments.	Start today for that. Are you ready.	Tell us your opinion.	-10.8806	-13.3553	-27.3559	-11.5354	-11.271	-14.3014	-27.04	-12.2471
urd-wl-86-174276-11370264-post1__1	شہید محترمہ بے نظیر بھٹوکو بعد از مرگ انسانی حقوق کا عالمی ایوارڈ دیا گیا جسے ان کے بیٹے اور پیپلز پارٹی کے چیئر مین بلاول بھٹو زرداری نے وصول کیا۔	Benazir Bhutto was posthumously awarded the UN Human Rights prize, which was received by her son, Chairman of Peoples' Party Bilawal Bhutto Zardari.	Respected martyr Benazir Bhutto was given the International Award for Human Rights after her death, which was received by her son and chairperson of the People's Party Bilawal Bhutto Zardari.	We are firmly take a decision today. How to solve the problems. It is not merely easy. It is very risk task. First of all we have the good mind and attitude towards that.	Benazir bhutto martyred after human rights of the Hart International Award was his son and the Chairman of the people's party has received bilawal Bhutto Zardari.	-290.924	-274.037	-93.1419	-293.893	-292.218	-276.654	-83.5568	-295.745
urd-wl-86-174276-11370264-post1__2	اقوام متحدہ کے صدر دفتر میں جنرل اسمبلی کے اجلاس کے دوران ایک تقریب میں پاکستان کی سابق وزیراعظم شہیدبے نظیر بھٹو کو ان کے انسانی حقوق کیلئے ان کی خدمات کے اعتراف میں اس ایوارڈ سے نواز گیا۔	This award was given to the former Prime Minister of Pakistan, slain Benazir Bhutto, in acknowledgement of her contribution towards human rights, in a function held during one of the meetings of the General Assembly in UN Headquarters.	During a session of General Assembly in United Nations headquarters, former prime minister of Pakistan, martyr Benazir Bhutto was presented with this award for acknowledgment of her efforts for human rights in a ceremony.	The world faced many calamities such as earthquake. flood, Tsunami etc. But we have not known yet to take precautionary measures to overcome that. We have taken after the calamities. Our scientists to find necessary steps for that	The United Nations in the Office of the President of the meeting of the General Assembly during a function of Pakistan in the former prime minister Benazir Bhutto to human rights of the services of this award in the Nawaz.	-169.816	-205.642	-156.743	-189.528	-170.156	-209.215	-157.893	-190.128
urd-wl-86-174276-11370264-post1__3	اقوام متحدہ کی طرف سے انسانی حقوق کی قرارداد کی ساٹھویں سالگرہ 10/دسمبر کو منائی گئی۔	The 17th birthday of humaan rights was celebrated by United States.	The 60th anniversary of the passing of the human rights resolution by the United Nations was celebrated on the 10th of December.	from United Nation side made a 60 birthday on 10/December for Human Rights resolution.	On behalf of the UN resolution of the human rights through political confrontation of the birthday was celebrated on December 10.	-72.1757	-89.4243	-86.8596	-52.46	-73.1313	-88.3812	-88.0989	-52.0929
urd-wl-86-174276-11370264-post1__4	اس موقع پر انسانی حقوق کے لیے کام کرنے کے اعتراف میں جن شخصیات اور اداروں کو یہ اعزازات دیئے جارہے ہیں ان میں بینظیر بھٹو کے علاوہ امریکا کے سابق اٹارنی جنرل لوئیس رمزے کلارک اور دنیا بھر میں انسانی حقوق کیلئے کام کرنے والی عالمی تنظیم ہیومن رائٹس واچ شامل ہیں۔	On this event the personalities and institutes which are rewarded in the declare of human rights, from them except Nazir Bhutto American past president General Lotis Ramray Kalarak all the workin for human rights all over the world,	Among those people and institutes being recognized with honors on the occasion, for working for human rights, apart from Benazir Bhutto, were former American Attorney General, Louis Ramsey Clark and Human Rights Watch, the organisation that works around the world for human rights.	at his oucation to accept work for human rights personalities and organization have been awarded in which Benazir Bhutto and also America ex-Attorney Cornall Lewis Rams Clark and international organization work for Human Rights Human Rights Watch included.	On this occasion, the human rights to work for the recognition of the personalities and institutions are being given to the awards in America, Benazir Bhutto, the former Attorney General Luis ramrase throughout the world Clark and Human Rights to the international organization Human Rights Watch.	-332.1	-277.232	-300.955	-227.032	-329.908	-277.48	-302.135	-224.37
urd-wl-86-174276-11370264-post1__5	اس موقع پراقوام متحدہ میں پاکستان کے سفیر عبداللہ حسین ہارون اور دوسرے پاکستانی سینئر سفارتی اہلکاروں بھی موجود تھے۔	On this time, Pakistani ambassador Abdullah Hussain Taron and other Pakistani center ambassadors persons were also present in United States.	On this occasion, the Pakistani Ambassador to the United Nations, Abdullah Husain Harun and other senior embassy agents were present.	at that time Pakistani Diplomat in United Nation Abdullah Hussain Haroon and some other Senior diplomats also present .	In this occasion Pakistan's ambassador to Abdullah Hussain Haroon and other senior diplomatic officials were also present.	-147.199	-134.88	-145.654	-130.5	-147.587	-133.008	-143.024	-131.172
urd-wl-86-174276-11370264-post1__6	سابق وزیر اعظم محترمہ بینظیر بھٹو شہید کو یہ ایوارڈ ملنے پر آپ کیا کہیں گے۔	What will you say at getting past prime minister Baynazir this award?	What do you say about the former martyr Prime Minister Benazir Bhutto receiving this award?	what you say about Ex-prime minster Benazir Bhuto Martyr received this Award	What is your opinion on former prime minister Benazir Bhutto receiving an award.	-107.94	-154.335	-122.341	-111.078	-107.742	-153.766	-121.859	-108.976
urd-wl-86-174276-11370264-post8__1	-سمیر۔	Samir.	Samir	September.	Sameer	-42.7141	-9.73412	-5.76583	-42.7141	-42.7141	-9.73412	-5.76583	-42.7141
urd-wl-86-174276-11370264-post8__2	شکاگو۔	Shikago.	Chicago	Chicago.	Chicago	-42.7141	-9.27802	-42.7141	-9.27802	-42.7141	-9.27802	-42.7141	-9.27802
urd-wl-86-174276-11370264-post8__3	یہ بات سچ ہے کہ انہیں شید کیا گیا لیکن ہمیں یہ بھی یاد ہے کہ انہوں نے کراچی میں کتنے معصوم لوگوں کا خون بہایا،جس پر وہ فخر کرتی تھیں کہ یہ نصیر اللہ بابر نے بہت اچھا کام کیا،	It is true that it was determined but we remember it also that how many non criminal persons they murdered?Upon it she has proud that Nasirullah Babur did a good deed today.	It is true that she was martyred, but we also remember how many innocent people she killed in Karachi, upon which she was proud that Nasirullah Babar did well.	this is true that she has martyred but we also remember that she killed many innocent in Karachi that she proud of that Naiseer Ullah Baber has done a great job.	Its true that they were killed but we feel sorry that they killed many innocent people in Karachi,at which they feel proud that Naseer Ullah Baber did a good job	-203.684	-183.916	-226.928	-219.558	-204.086	-185.39	-224.704	-220.749
urd-wl-86-174276-11370264-post8__4	لکین بعد میں بالکل چینج ہوگئیں	Bur she changed after it totally.	But later, she changed totally.	But than she totally changed.	But later,changed at all.	-60.7787	-22.5333	-17.922	-47.5212	-61.2157	-22.7789	-18.1677	-47.7673
urd-wl-86-174276-11370264-post8__5	لیکن یہ بھی سچ ہے کہ انہوں نے اپنی پارٹی کے سینئر لوگوں کو نذر انداز کیا اور اپنے بیٹے کو پیپلز پارٹی کا نمائندہ چنا،یہ کیسی جمہوریت ہے،؟	But it is also true that she ignored the caniters of its party also and chosen his son for the representative of People Party.How is it democratic.	It is also true that she ignored the senior members of her party, and made her son the representative of Peoples Party. What kind of democracy is that?	but this is also true that he neglect senior people in his party and chose his son as a party leader what Democracy is this?	But it's also true that they ignored the seniors of their party and nominated their own son as the representative of People's Party.What sort of democracy is it?	-146.405	-69.9359	-66.7775	-153.212	-147.546	-68.6616	-66.7914	-154.137
urd-wl-86-174276-11370265-post11__1	-جمی نور، کراچی، اس خبر سے قرآن کی یہ بات ثابت ہوگئی ہے کہ کافر کافر ہی کا ساتھ دے گا۔	Juma Noor,Karachi,It proved this Quranic saying that unbeliever help unbeliever.	Jami Noor, Karachi, This news proves that disbelievers will only help disbelievers.	Jimmy Noor, Karachi, this news proved Quran that said that Non-believer will support only Non-Believer.	Jimmy Noor,Karachi,This news has proved Quran's statement that a non Muslim will actually help an other non Muslim.	-219.471	-191.644	-203.153	-141.156	-219.84	-192.444	-204.014	-140.5
urd-wl-86-174276-11370265-post11__2	لیکن جب تک لوہے کی کلہاڑی ملاکر دستہ نہیں لگتا کلہاڑی پر کو نہیں کاٹ سکتی	Until the metal of the axe has a grip attached to it till then it cannot chop off the wings.	But until the iron ax is not fitted with a wooden handle, it cannot cut a wing.	An axe cant cut the wood until it does not have wooden handle	But if the iron axe doesnt contains the handle,it can' cut any thing.	-63.1522	-61.6929	-81.0972	-122.996	-65.1092	-62.4517	-82.862	-123.357
urd-wl-86-174276-11370265-post11__3	ہمارے حکمرانوں کو انداز یہی کچھ ہے وہ خفیہ طریقے اپنا رہے ہیں اسی وجہ سے ملک پہ آفتیں آرہی ہیں۔	And our leaders have a idea of this therefore they are using it to make secret plans.	Our rulers are just like this, that they are adopting secretive ways. This is why calamities are befalling the country.	Our rulers are responsible for the hardships and problems our country is in.	Our leaders own these styles,they are adopting secret ways,that's why our country is suffering with hardships.	-44.2188	-65.8361	-37.9812	-163.469	-45.5046	-66.9426	-38.2386	-161.795
urd-wl-86-174276-11370265-post11__4	اللہ ہمارے حکمرانوں کو ہدایت دے۔	God help our leaders.	May Allah guide our rulers.	May God bless our rulers with rightness	May Allah Almighty show the right path to our leaders.	-14.246	-24.3304	-29.8121	-36.2359	-14.5611	-25.6671	-28.5321	-37.1006
urd-wl-86-174276-11370265-post1__1	اقوام متحدہ کی سلامتی کونسل کے پینل نے حافظ محمد سعید سمیت تین پاکستانی شہریوں اور جماعت الدعوة سمیت پانچ تنظیموں کے نام دہشت گردوں کی فہرست میں شامل کردیئے ہیں۔	The security council of United Nations included the names of Hafiz Saeed and 3 other Pakistani's along with the Jamat Al Dawa and 5 other groups into the Terrorists list.	The Security Council panel of the United Nations have included the name of Hafiz Sa'eed as well as two other Pakistani citizens and that of Jama'athud Da'wah as well as four other organisations into the list of terrorists.	A panel of UN's Security council has included the names of Hafaiz Saeed and three other Pakistanis in the list of terrorists.	Panel of people council stated, Including sayeed three Pakistani civilians and Jamate Alqaidas five people names have been given in the list of terrorists.	-267.875	-236.453	-134.9	-183.871	-268.411	-236.074	-133.117	-184.116
